Campaign,Location,Criterion Type,Status
SuA Glow Hair & Scalp Reset,Carrollton; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,Dallas; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,Plano; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,Frisco; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,The Colony; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,Lewisville; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,Richardson; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,Addison; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,Farmers Branch; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,Irving; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,Flower Mound; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,Allen; Texas; United States,Location,Enabled
SuA Glow Hair & Scalp Reset,McKinney; Texas; United States,Location,Enabled
